Value	Abbreviation	Standard Name	Units	Description	Code space	Code space Index
1980		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission	kg m-2 s-1	tendency_of_X means derivative of X with respect to time.  ''Content'' indicates a quantity per unit area.  ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface).  ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names.	CF-44	
1981		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_agricultural_production	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of carbon monoxide is CO. The ''agricultural production'' sector comprises the agricultural processes of enteric fermentation, manure management, rice cultivation, agricultural soils and other. It may also include any not-classified or ''other'' combustion, which is commonly included in agriculture-related inventory data. ''Agricultural production'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source categories 4A, 4B, 4C, 4D and 4G as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
1982		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_agricultural_waste_burning	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of carbon monoxide is CO. The ''agricultural waste burning'' sector comprises field burning of agricultural residues. ''Agricultural waste burning'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source category 4F as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
1983		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_energy_production_and_distribution	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of carbon monoxide is CO. The ''energy production and distribution'' sector comprises fuel combustion activities related to energy industries and fugitive emissions from fuels. It may also include any not-classified or ''other'' combustion, which is commonly included in energy-related inventory data. ''Energy production and distribution'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source categories 1A1 and 1B as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
1984		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_forest_fires	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of carbon monoxide is CO. The ''forest fires'' sector comprises the burning (natural and human-induced) of living or dead vegetation in forests. ''Forest fires'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source category 5 as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
1985		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_industrial_processes_and_combustion	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of carbon monoxide is CO. The ''industrial processes and combustion'' sector comprises fuel combustion activities related to manufacturing industries and construction, industrial processes related to mineral products, the chemical industry, metal production, the production of pulp, paper, food and drink, and non-energy industry use of lubricants and waxes. It may also include any not-classified or ''other'' combustion, which is commonly included in industry-related inventory data. ''Industrial processes and combustion'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source categories 1A2, 2A, 2B, 2C, 2D and 2G as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
1986		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_land_transport	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of carbon monoxide is CO.   The ''land transport'' sector includes fuel combustion activities related to road transportation, railways and other transportation.  ''Land transport'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source categories 1A3b, 1A3c and 1A3e as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
1987		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_maritime_transport	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of carbon monoxide is CO. The ''maritime transport'' sector includes fuel combustion activities related to maritime transport. ''Maritime transport'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source category 1A3d as defined in the 2006 IPCC guidelines for national greenhouse gas Inventories''.	CF-44	
1988		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_residential_and_commercial_combustion	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula for carbon monoxide is CO. The ''residential and commercial combustion'' sector comprises fuel combustion activities related to the commercial/institutional sector, the residential sector and the agriculture/forestry/fishing sector. It may also include any not-classified or ''other'' combustion, which is commonly included in the inventory data. ''Residential and commercial combustion'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source categories 1A4a, 1A4b and 1A4c as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
1989		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_savanna_and_grassland_fires	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of carbon monoxide is CO. The ''savanna and grassland fires'' sector comprises the burning (natural and human-induced) of living or dead vegetation in non-forested areas. It excludes field burning of agricultural residues. ''Savanna and grassland fires'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source category 5 as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
1990		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_solvent_production_and_use	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula for carbon monoxide is CO. The ''solvent production and use'' sector comprises industrial processes related to the consumption of halocarbons, SF6, solvent and other product use. ''Solvent production and use'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source categories 2F and 3 as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
1991		tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission_from_waste_treatment_and_disposal	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of carbon monoxide is CO. The ''waste treatment and disposal'' sector comprises solid waste disposal on land, wastewater handling, waste incineration and other waste disposal. ''Waste treatment and disposal'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source categories 6A, 6B, 6C and 6D as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
1992		tendency_of_atmosphere_mass_content_of_carbon_tetrachloride_due_to_emission	kg m-2 s-1	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ''tendency_of_X'' means derivative of X with respect to time.  ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of carbon tetrachloride is CCl4.	CF-44	
1993		tendency_of_atmosphere_mass_content_of_cfc113a_due_to_emission	kg m-2 s-1	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ''tendency_of_X'' means derivative of X with respect to time.  ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of CFC113a CCl3CF3.  The IUPAC name for CFC113a is 1,1,1-trichloro-2,2,2-trifluoro-ethane.	CF-44	
1994		tendency_of_atmosphere_mass_content_of_cfc113_due_to_emission	kg m-2 s-1	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ''tendency_of_X'' means derivative of X with respect to time.  ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of CFC113 is CCl2FCClF2. The IUPAC name for CFC113 is 1,1,2-trichloro-1,2,2-trifluoro-ethane.	CF-44	
1995		tendency_of_atmosphere_mass_content_of_cfc114_due_to_emission	kg m-2 s-1	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ''tendency_of_X'' means derivative of X with respect to time.  ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of CFC114 is CClF2CClF2. The IUPAC name for CFC114 is 1,2-dichloro-1,1,2,2-tetrafluoro-ethane.	CF-44	
1996		tendency_of_atmosphere_mass_content_of_cfc115_due_to_emission	kg m-2 s-1	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ''tendency_of_X'' means derivative of X with respect to time.  ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of CFC115 is CClF2CF3. The IUPAC name for CFC115 is 1-chloro-1,1,2,2,2-pentafluoro-ethane.	CF-44	
1997		tendency_of_atmosphere_mass_content_of_cfc11_due_to_emission	kg m-2 s-1	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ''tendency_of_X'' means derivative of X with respect to time.  ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula of CFC11 is CFCl3. The IUPAC name fof CFC11 is trichloro-fluoro-methane.	CF-44	
1998		tendency_of_atmosphere_mass_content_of_cfc12_due_to_emission	kg m-2 s-1	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ''tendency_of_X'' means derivative of X with respect to time.  ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula for CFC12 is CF2Cl2.  The IUPAC name for CFC12 is dichloro-difluoro-methane.	CF-44	
1999		tendency_of_atmosphere_mass_content_of_chlorinated_hydrocarbons_due_to_emission_from_forest_fires	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. Chlorinated hydrocarbons are a group of chemicals composed of carbon, chlorine and hydrogen. As pesticides, they are also referred to by several other names, including chlorinated organics, chlorinated insecticides and chlorinated synthetics. In standard names ''chlorinated_hydrocarbons'' is the term used to describe the group of chlorinated hydrocarbon species that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. The ''forest fires'' sector comprises the burning (natural and human-induced) of living or dead vegetation in forests. ''Forest fires'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source category 5 as defined in the 2006 IPCC guidelines for national greenhouse gas Inventories''.	CF-44	
2000		tendency_of_atmosphere_mass_content_of_chlorinated_hydrocarbons_due_to_emission_from_land_transport	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. Chlorinated hydrocarbons are a group of chemicals composed of carbon, chlorine and hydrogen. As pesticides, they are also referred to by several other names, including chlorinated organics, chlorinated insecticides and chlorinated synthetics. In standard names ''chlorinated_hydrocarbons'' is the term used to describe the group of chlorinated hydrocarbon species that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute.   The ''land transport'' sector includes fuel combustion activities related to road transportation, railways and other transportation.  ''Land transport'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source categories 1A3b, 1A3c and 1A3e as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
2001		tendency_of_atmosphere_mass_content_of_chlorinated_hydrocarbons_due_to_emission_from_savanna_and_grassland_fires	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. Chlorinated hydrocarbons are a group of chemicals composed of carbon, chlorine and hydrogen. As pesticides, they are also referred to by several other names, including chlorinated organics, chlorinated insecticides and chlorinated synthetics. In standard names ''chlorinated_hydrocarbons'' is the term used to describe the group of chlorinated hydrocarbon species that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. The ''savanna and grassland fires'' sector comprises the burning (natural and human-induced) of living or dead vegetation in non-forested areas. It excludes field burning of agricultural residues. ''Savanna and grassland fires'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source category 5 as defined in the 2006 IPCC guidelines for national greenhouse gas Inventories''.	CF-44	
2002		tendency_of_atmosphere_mass_content_of_chlorinated_hydrocarbons_due_to_emission_from_solvent_production_and_use	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. Chlorinated hydrocarbons are a group of chemicals composed of carbon, chlorine and hydrogen. As pesticides, they are also referred to by several other names, including chlorinated organics, chlorinated insecticides and chlorinated synthetics. In standard names ''chlorinated_hydrocarbons'' is the term used to describe the group of chlorinated hydrocarbon species that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. The ''solvent production and use'' sector comprises industrial processes related to the consumption of halocarbons, SF6, solvent and other product use. ''Solvent production and use'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source categories 2F and 3 as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
2003		tendency_of_atmosphere_mass_content_of_chlorinated_hydrocarbons_due_to_emission_from_waste_treatment_and_disposal	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. Chlorinated hydrocarbons are a group of chemicals composed of carbon, chlorine and hydrogen. As pesticides, they are also referred to by several other names, including chlorinated organics, chlorinated insecticides and chlorinated synthetics. In standard names ''chlorinated_hydrocarbons'' is the term used to describe the group of chlorinated hydrocarbon species that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. The ''waste treatment and disposal'' sector comprises solid waste disposal on land, wastewater handling, waste incineration and other waste disposal. ''Waste treatment and disposal'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source categories 6A, 6B, 6C and 6D as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
2004		tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_dry_deposition	kg m-2 s-1	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ''tendency_of_X'' means derivative of X  with respect to time.  ''Dry deposition''is the sum of turbulent deposition and gravitational settling.	CF-44	
2005		tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission	kg m-2 s-1	tendency_of_X means derivative of X with respect to time.  ''Content'' indicates a quantity per unit area.  ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface).  ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names.	CF-44	
2006		tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission_from_forest_fires	kg m-2 s-1	tendency_of_X means derivative of X with respect to time. ''Content'' indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ''content_of_atmosphere_layer'' are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ''due_to_'' process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Emission'' means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ''Emission'' is a process entirely distinct from ''re-emission'' which is used in some standard names. The chemical formula for dimethyl sulfide is (CH3)2S. Dimethyl sulfide is sometimes referred to as DMS. The ''forest fires'' sector comprises the burning (natural and human-induced) of living or dead vegetation in forests. ''Forest fires'' is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ''IPCC (Intergovernmental Panel on Climate Change) source category 5 as defined in the 2006 IPCC guidelines for national greenhouse gas inventories''.	CF-44	
